36°47′57″  138°24′14″
36°45′10″  138°34′05″
36°44′31″  138°33′34″
36°42′01″  138°30′57″
36°40′36″  138°28′53″
36°40′08″  138°31′33″
36°38′38″  138°31′40″
36°37′22″  138°31′55″
36°32′30″  138°24′47″
36°32′57″  138°23′43″
36°26′05″  138°24′04″
36°25′10″  138°26′50″
36°24′24″  138°31′23″
36°27′13″  138°39′09″
36°24′39″  138°38′44″
36°28′39″  138°51′03″
36°35′31″  138°59′52″
36°17′55″  138°44′56″
36°12′14″  138°38′14″
36°08′37″  138°50′36″
36°09′08″  138°55′06″
36°04′11″  138°51′49″
36°01′24″  138°50′29″
36°02′02″  138°36′24″
35°55′03″  138°43′40″
35°54′32″  138°43′44″
35°55′08″  138°31′16″
35°53′36″  138°35′31″
35°52′17″  138°37′31″
35°52′28″  138°38′33″
35°52′15″  138°40′23″
35°52′07″  138°40′15″
35°49′23″  138°42′54″
35°46′54″  138°39′51″
35°47′42″  138°30′50″
36°00′21″  139°11′24″
35°57′06″  139°05′52″
35°55′37″  139°09′38″
35°51′03″  139°06′25″
35°53′50″  139°00′37″
35°51′20″  138°56′38″
35°53′58″  138°52′41″
35°52′04″  138°50′43″
35°50′24″  138°53′32″
35°47′19″  138°50′09″
35°44′56″  138°50′44″
35°43′01″  138°51′24″
35°41′13″  138°53′06″
35°40′04″  139°01′17″
35°38′14″  139°00′50″
35°44′21″  139°00′50″
35°45′55″  139°07′49″
35°39′08″  139°10′00″
35°37′31″  139°14′37″
35°09′45″  140°09′08″
35°15′20″  139°58′18″
35°09′37″  139°50′27″
35°05′56″  139°52′53″
35°06′26″  139°54′50″
35°06′54″  139°59′13″
34°57′51″  139°46′40″
35°15′00″  139°37′41″
35°26′27″  139°13′53″
35°29′11″  139°08′20″
35°28′27″  139°09′46″
35°27′15″  139°09′48″
35°30′39″  139°04′07″
35°29′13″  138°55′54″
35°27′50″  138°58′43″
35°32′57″  138°48′33″
35°33′07″  138°44′58″
35°33′47″  138°43′13″
35°31′43″  138°41′00″
35°21′39″  138°43′39″
35°14′17″  138°47′38″
35°24′57″  138°32′38″
35°19′45″  138°32′12″
35°14′00″  139°01′15″
35°17′23″  139°00′18″
35°04′54″  139°01′41″
34°54′11″  139°05′41″
34°51′46″  139°00′06″
34°57′18″  138°50′21″
34°47′18″  138°52′05″
34°43′28″  139°23′40″
34°31′13″  139°16′45″
34°13′10″  139°09′11″
34°05′37″  139°31′34″
33°52′28″  139°36′07″
33°08′13″  139°45′58″
30°29′02″  140°18′11″
27°04′24″  142°13′07″
26°39′34″  142°09′41″
25°25′41″  141°16′51″
24°45′02″  141°17′21″
24°14′02″  141°27′48″
38°06′14″  138°20′59″
37°57′31″  138°28′47″
37°42′17″  138°48′32″
37°17′22″  138°29′02″
37°13′34″  138°35′32″
37°01′56″  138°29′36″
36°50′15″  138°16′28″
37°01′43″  138°01′35″
36°56′34″  137°56′54″
36°55′55″  137°58′08″
36°55′15″  138°02′09″
36°54′07″  137°57′45″
36°55′22″  138°04′05″
36°53′29″  138°06′48″
36°48′48″  138°07′38″
36°48′00″  138°03′07″
36°46′13″  138°03′18″
36°44′22″  138°08′01″
36°38′59″  138°01′08″
36°29′03″  138°01′17″
36°28′08″  138°06′24″
36°13′33″  138°06′27″
36°09′47″  138°03′33″
36°06′11″  138°11′48″
36°06′13″  138°17′42″
36°05′15″  138°19′12″
36°04′32″  138°19′52″
36°01′09″  138°21′20″
35°59′49″  138°21′02″
35°59′55″  138°22′12″
35°59′05″  138°22′25″
35°58′15″  138°22′12″
35°58′20″  138°21′32″
35°56′59″  138°21′35″
35°57′00″  138°20′06″
35°56′32″  138°21′50″
35°56′30″  138°20′42″
36°58′36″  137°47′24″
36°56′27″  137°49′19″
36°54′25″  137°42′56″
36°49′36″  137°43′48″
36°47′41″  137°45′15″
36°46′49″  137°44′58″
36°46′25″  137°46′34″
36°47′19″  137°47′57″
36°48′51″  137°50′20″
36°45′31″  137°45′31″
36°45′28″  137°44′45″
36°45′53″  137°43′08″
36°44′26″  137°45′33″
36°43′53″  137°45′19″
36°41′14″  137°45′17″
36°39′30″  137°45′10″
36°37′28″  137°44′49″
36°35′18″  137°45′03″
36°34′37″  137°42′48″
36°34′07″  137°41′44″
36°33′43″  137°41′15″
36°32′39″  137°41′06″
36°32′17″  137°41′04″
36°32′09″  137°42′38″
36°31′03″  137°42′20″
36°29′43″  137°40′02″
36°29′24″  137°39′11″
36°28′46″  137°39′03″
36°27′17″  137°38′58″
36°25′58″  137°38′16″
36°24′48″  137°38′30″
36°27′42″  137°36′12″
36°25′35″  137°36′10″
36°24′40″  137°35′28″
36°24′11″  137°36′19″
36°23′24″  137°35′16″
36°45′42″  137°33′49″
36°42′04″  137°35′27″
36°40′52″  137°35′25″
36°38′28″  137°37′33″
36°37′24″  137°37′01″
36°35′51″  137°37′13″
36°36′09″  137°36′32″
36°35′54″  137°34′51″
36°35′58″  137°33′00″
36°35′12″  137°37′12″
36°34′33″  137°37′11″
36°34′16″  137°35′23″
36°33′53″  137°36′26″
36°34′06″  137°36′13″
36°32′31″  137°35′14″
36°32′03″  137°35′09″
36°30′54″  137°34′59″
36°32′24″  137°28′41″
36°28′08″  137°32′41″
36°25′16″  137°30′44″
36°23′33″  137°32′24″
36°22′19″  137°35′14″
36°22′00″  137°36′28″
36°20′58″  137°35′48″
36°19′40″  137°34′30″
36°18′56″  137°33′01″
36°16′55″  137°32′50″
36°22′50″  137°39′02″
36°27′40″  137°43′00″
36°26′50″  137°44′10″
36°24′25″  137°42′46″
36°23′28″  137°46′14″
36°21′54″  137°42′04″
36°21′12″  137°42′56″
36°20′33″  137°43′37″
36°19′32″  137°43′39″
36°17′15″  137°43′34″
36°16′27″  137°44′36″
36°20′36″  137°41′03″
36°20′14″  137°40′46″
36°19′45″  137°40′47″
36°20′31″  137°38′51″
36°20′09″  137°38′45″
36°19′47″  137°38′48″
36°19′08″  137°39′03″
36°18′09″  137°39′07″
36°17′45″  137°38′49″
36°17′21″  137°38′53″
36°16′55″  137°39′38″
36°16′44″  137°37′45″
36°13′37″  137°35′13″
